device,cycle,channel,state,max_alignment_change_pct
论文腕表,1,Ut1,连接,0.0005170079488636681
论文腕表,1,Ut1,复位,0.0011566102200211148
论文腕表,1,Ut2,连接,0.01020364327657397
论文腕表,1,Ut2,复位,0.017215565843042846
论文腕表,2,Ut1,连接,0.012261117051104442
论文腕表,2,Ut1,复位,0.010068408278507412
论文腕表,2,Ut2,连接,0.00322166400066326
论文腕表,2,Ut2,复位,0.01052706731203834
论文腕表,3,Ut1,连接,0.007409230079225004
论文腕表,3,Ut1,复位,0.008206277494104963
论文腕表,3,Ut2,连接,0.009855209383824448
论文腕表,3,Ut2,复位,0.0022733037387423494
项目腕表,1,Ut1,连接,0.005136744337863597
项目腕表,1,Ut1,复位,0.0013619211743254311
项目腕表,1,Ut2,连接,0.03225042402792422
项目腕表,1,Ut2,复位,0.10240403507839613
项目腕表,2,Ut1,连接,0.01486963184369472
项目腕表,2,Ut1,复位,0.1676522526452784
项目腕表,2,Ut2,连接,0.005545646064608611
项目腕表,2,Ut2,复位,0.11752274508693983
项目腕表,3,Ut1,连接,0.027094555536344433
项目腕表,3,Ut1,复位,0.015061273140459797
项目腕表,3,Ut2,连接,0.061115814126355694
项目腕表,3,Ut2,复位,0.04069590619300012
