device,phase,run,rows,duration_s,mcu_start,mcu_end,path,sha256,TxBusyCounter_delta,TxErrorCounter_delta,AdcErrorCounter_delta,ImuErrorCounter_delta,PcMissingRaw_delta,PcRawInvalidCandidates_delta
论文腕表,佩戴,1,6111,61.11,880.115,941.215,recordings\20260914-热膜噪声蓝牙问题分析\论文腕表佩戴静息记录（经过开机稳定）\kaiji1_LYX_0915.csv,2dd06702f411aed00efba1d2c58895a030a8cc62711177683bc85f15724c7814,0,0,0,0,0,0
论文腕表,静置,1,6475,64.75,728.005,792.745,recordings\20260914-热膜噪声蓝牙问题分析\论文腕表开机稳定后记录\kaiji1_LYX_0915.csv,63cb85778f7ee6e7d9ad40b780f916cf64bb0412843ff4c90d6fe5cfe5ba0848,0,0,0,0,0,0
论文腕表,开机,1,60585,605.85,22.125000000000007,627.965,recordings\20260914-热膜噪声蓝牙问题分析\论文腕表开机记录（长时间）\kaiji1_LYX_0915.csv,537fcd215539504f981a24f85bfab1c962c2abd712ccb502cc9c5d455f25497a,0,0,0,0,0,0
论文腕表,复位,1,19040,190.4,73.06400000000001,263.454,recordings\20260914-热膜噪声蓝牙问题分析\论文腕表蓝牙射频关闭对比实验\kaiji1_LYX_0915.csv,b8c5e1152269391552988df0a9063f1668e8c2171507dc377b84a0bdb98967bb,0,0,0,0,0,0
项目腕表,佩戴,1,9720,97.2,832.765,929.955,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表佩戴静息记录（经过开机稳定）\kaiji1_LYX_0915.csv,cd3679ed739ca2bcdce41c40d3b3b90a0a445a3296c435d8ea0ccecc0fa46d5e,0,0,0,0,0,0
项目腕表,静置,1,10411,104.11,635.265,739.365,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表开机稳定后记录\kaiji1_LYX_0915.csv,d13bde3096d3ad104f422da1b46a3fd9977383fd441de56ace257104b2f3dbc3,0,0,0,0,0,0
项目腕表,静置,2,8957,89.57,651.465,741.025,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表开机稳定后记录\kaiji2_LYX_0915.csv,6ad546bacbb4add4d712286bc2a467437021463fe0f5dfbb3005721506612afc,0,0,0,0,0,0
项目腕表,开机,1,60191,601.91,19.06500000000001,620.965,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表开机记录（长时间）\kaiji1_LYX_0915.csv,f2ba623a126b7252f13e13a7062569769340ecf039490c170eada69d417aefdb,0,0,0,0,0,0
项目腕表,开机,2,62143,621.43,15.125000000000009,636.545,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表开机记录（长时间）\kaiji2_LYX_0915.csv,7a71362363d783bddedfb9edc3c060d1b2bf9852d746b6b943729684bde89352,0,0,0,0,0,0
项目腕表,复位,1,28419,284.19,39.37400000000001,323.554,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表蓝牙射频关闭对比实验\kaiji1_LYX_0915.csv,92a18058d493b3b8c60b1eaa1eccc90c0e95661968deceab16847dac6e979201,0,0,0,0,0,0
项目腕表,复位,2,22402,224.02,38.38900000000001,262.399,recordings\20260914-热膜噪声蓝牙问题分析\项目腕表蓝牙射频关闭对比实验\kaiji2_LYX_0915.csv,9e8166e0164c269516ea98d61355a80fcd3c7b32477abc7cc4a9c624bf095397,0,0,0,0,0,0
