device,phase,run,window,channel,start_s,end_s,rms_mV,mean_mV,std_raw_mV,slope_mV_min
论文腕表,佩戴,1,前30秒,Ut1,0.0,30.0,0.2153737686457407,1644.2609666266667,0.27695488523687345,-0.9149194423491674
论文腕表,佩戴,1,前30秒,Ut2,0.0,30.0,0.2107260951661497,1459.9262746133331,3.1893351033106017,-21.97248783960185
论文腕表,佩戴,1,前60秒,Ut1,0.0,60.0,0.2162520872546099,1645.1030225433335,1.2350898420147658,3.453674298288814
论文腕表,佩戴,1,前60秒,Ut2,0.0,60.0,0.20710922043556512,1455.6362788299998,5.041686047726885,-17.301285234110445
论文腕表,佩戴,1,末30秒,Ut1,31.11,61.11,0.21774730061532616,1646.0985055233334,1.277428897425726,8.553262463705948
论文腕表,佩戴,1,末30秒,Ut2,31.11,61.11,0.20506741123699196,1451.1052195933335,1.917383971492111,-13.151442026981671
论文腕表,佩戴,1,末60秒,Ut1,1.1099999999999994,61.11,0.21657471295133776,1645.171394605,1.3078748909365854,3.754733353025985
论文腕表,佩戴,1,末60秒,Ut2,1.1099999999999994,61.11,0.2069414764856289,1455.3144709616668,4.941221625118011,-16.955384493435755
论文腕表,佩戴,1,10–20秒,Ut1,10.0,20.0,0.2017006566112933,1644.21241818,0.22168624785396948,-1.0048245923373862
论文腕表,佩戴,1,10–20秒,Ut2,10.0,20.0,0.23208489153449546,1459.64965802,1.0789148991268178,-21.947632967392533
论文腕表,静置,1,前30秒,Ut1,0.0,30.0,0.3758098337496279,1288.6811827133333,0.6211475484095045,-1.0214467090941843
论文腕表,静置,1,前30秒,Ut2,0.0,30.0,0.27212470454123766,1149.4244637866666,0.4540484597122322,1.9203590184362846
论文腕表,静置,1,前60秒,Ut1,0.0,60.0,0.3158109067659452,1288.4781772816666,0.7254018513856055,-0.5836269733575012
论文腕表,静置,1,前60秒,Ut2,0.0,60.0,0.3208348725685651,1149.4426091300002,0.5529880636624704,-0.03826613221719608
论文腕表,静置,1,末30秒,Ut1,34.75,64.75,0.2553390988368232,1288.3368682366665,0.8189041894449934,3.8660037959436973
论文腕表,静置,1,末30秒,Ut2,34.75,64.75,0.3463145886400587,1149.2968495500002,0.666655701553532,-3.0958314502895585
论文腕表,静置,1,末60秒,Ut1,4.75,64.75,0.30455016888807024,1288.5160318216665,0.7426761861707879,-0.15001356820702114
论文腕表,静置,1,末60秒,Ut2,4.75,64.75,0.3249995876421627,1149.40706886,0.5807250061702448,-0.47174275127468435
论文腕表,静置,1,10–20秒,Ut1,10.0,20.0,0.38847992125617564,1288.7591551700002,0.7634563904723868,-12.964647824612051
论文腕表,静置,1,10–20秒,Ut2,10.0,20.0,0.23548799228513898,1149.46731561,0.3439455402881544,4.242836832710532
论文腕表,开机,1,前30秒,Ut1,0.0,30.0,0.4817938994019456,1368.4506989000001,7.580065457153371,-52.385693667780075
论文腕表,开机,1,前30秒,Ut2,0.0,30.0,0.26348637273727293,1284.2299652733334,9.852396322387442,-68.20772930690202
论文腕表,开机,1,前60秒,Ut1,0.0,60.0,0.4851269545927493,1357.4506632416667,12.761306258293313,-43.95577288615205
论文腕表,开机,1,前60秒,Ut2,0.0,60.0,0.26683672202572034,1269.5381291816668,17.007436104776207,-58.69482574856236
论文腕表,开机,1,末30秒,Ut1,575.85,605.85,0.23463043763214847,1281.4433543333334,0.6591423232403782,3.865033047979842
论文腕表,开机,1,末30秒,Ut2,575.85,605.85,0.38473618461553183,1145.6258645566666,1.1035920757772029,5.617726988789571
论文腕表,开机,1,末60秒,Ut1,545.85,605.85,0.32697033208355464,1281.78488411,0.7369756227420933,-0.9045549881241131
论文腕表,开机,1,末60秒,Ut2,545.85,605.85,0.36840231772814425,1145.7860691216665,0.9480076392395342,-0.19595061396254262
论文腕表,开机,1,10–20秒,Ut1,10.0,20.0,0.4943797014565723,1368.32443242,2.6574150292723124,-54.24468726372349
