ppg,state,cycle,trim_s,channel,mcu_start_s,mean_mV,total_rms_mV,b20_rms_mV,b40_rms_mV,b33_rms_mV,other_rms_mV
PPG开启,连接,1,5,Ut1,80.117,1518.8338473050003,0.4820701425884592,0.1623397529176513,0.14477438112651636,0.3323328751203166,0.43020670097910785
PPG开启,连接,1,5,Ut2,80.117,1361.4545441050002,0.3090056637044582,0.1303888307245092,0.12717345898053486,0.08244568689839492,0.24962003997005972
PPG开启,连接,1,10,Ut1,85.117,1518.8287357000002,0.519155147803993,0.1725763518567737,0.16386908602902486,0.3322589972148589,0.4613961344822959
PPG开启,连接,1,10,Ut2,85.117,1361.4762114,0.28206348109056434,0.1278466615054343,0.11958589995564464,0.08133218999364293,0.22116566423981954
PPG开启,复位,1,5,Ut1,110.117,1515.9792709849999,0.2221412314121735,0.13782622996281527,0.12726185078771451,0.00812934836508537,0.11897511656493331
PPG开启,复位,1,5,Ut2,110.117,1355.6220631050003,0.22079395961501272,0.11999464549322214,0.11713995274515179,0.008307989023516038,0.14362969444476104
PPG开启,复位,1,10,Ut1,115.117,1515.96328748,0.1780082191871337,0.08246120101628161,0.09278850839375387,0.008407216236721929,0.12758279325672917
PPG开启,复位,1,10,Ut2,115.117,1355.58998105,0.19319283240832258,0.12633534764381324,0.12482568889107563,0.007337334545812159,0.07603550369751924
PPG开启,连接,2,5,Ut1,140.514,1514.1771698550003,0.30036178498190724,0.13606023162804792,0.1409399755769344,0.07872108464012777,0.22768561336020454
PPG开启,连接,2,5,Ut2,140.514,1351.0897063549999,0.4717300373203823,0.16087190388866887,0.14987745486867898,0.33536575958558856,0.41735621137298445
PPG开启,连接,2,10,Ut1,145.514,1514.1667937,0.31793191356031486,0.1463366354748944,0.13597894776998198,0.08166635507459367,0.24733785909435682
PPG开启,连接,2,10,Ut2,145.514,1351.05941786,0.43481762741333274,0.11982155068340633,0.12413245987719175,0.31350794455512443,0.39912441356802664
PPG开启,复位,2,5,Ut1,170.514,1512.8555298999997,0.10272050460579221,0.057974043122802806,0.06483883171823698,0.010719958048809425,0.0546483146298047
PPG开启,复位,2,5,Ut2,170.514,1347.26490001,0.17049431193485687,0.11400603666406094,0.1150546778292413,0.007240347045150157,0.05322926935345404
PPG开启,复位,2,10,Ut1,175.514,1512.8919986899998,0.08596363327031076,0.05350671153560747,0.03146795756342697,0.010724772962800468,0.05946886338634806
PPG开启,复位,2,10,Ut2,175.514,1347.1762845,0.23577314750801504,0.16185959528006522,0.1621506043716837,0.007468753840584813,0.05565635636212116
PPG开启,连接,3,5,Ut1,200.905,1512.0025251250001,0.3240445429668336,0.12312370967303707,0.11056873024874171,0.2079982853223374,0.2786036141799218
PPG开启,连接,3,5,Ut2,200.905,1343.5802077600001,0.1947489154010537,0.10823115992971243,0.09322966788101573,0.0621612241538878,0.13236836894421297
