device,cycle,state,trim_s,channel,start_mcu_s,rms_mV,mean_mV,std_raw_mV,slope_mV_min
论文腕表,1,连接,5,Ut1,80.117,0.413137125590616,1320.8851242550002,2.76817777971354,-28.41318730755544
论文腕表,1,连接,5,Ut2,80.117,0.2967819244391986,1213.231773325,4.132775094388237,-42.78452805364398
论文腕表,1,连接,10,Ut1,85.117,0.40179298482495257,1320.7968139,1.4278663244135226,-28.401588021350122
论文腕表,1,连接,10,Ut2,85.117,0.31132833804717763,1213.08624254,2.0707951610274486,-42.539925507999676
论文腕表,1,复位,5,Ut1,110.117,0.12733497665347082,1309.285164055,1.7673403780936001,-18.305688209553992
论文腕表,1,复位,5,Ut2,110.117,0.108832640029275,1195.3559494299998,2.894351464901725,-30.037627884229863
论文腕表,1,复位,10,Ut1,115.117,0.12181653183809381,1309.2492676,0.8842590235498736,-18.187715699072612
论文腕表,1,复位,10,Ut2,115.117,0.11061335311481899,1195.28724668,1.46296629533994,-30.295837286316175
论文腕表,2,连接,5,Ut1,140.488,0.2147395079251862,1301.1508557700004,1.374899454347223,-14.098841435476375
论文腕表,2,连接,5,Ut2,140.488,0.3675037101051175,1182.1623609099997,2.2741323538403164,-23.307122277360982
论文腕表,2,连接,10,Ut1,145.488,0.2249450092840192,1301.1196899100003,0.726466287136048,-14.382063888900586
论文腕表,2,连接,10,Ut2,145.488,0.3896759424183462,1182.1244047300002,1.174246955255181,-23.104396540031463
论文腕表,2,复位,5,Ut1,170.488,0.12173516440497463,1294.7246170600001,1.162805018870187,-12.006758361976274
论文腕表,2,复位,5,Ut2,170.488,0.10470220050070125,1171.679840065,1.7791306921301508,-18.44457982312473
论文腕表,2,复位,10,Ut1,175.488,0.12314560242135125,1294.69459544,0.6017908699772566,-12.228362940121858
论文腕表,2,复位,10,Ut2,175.488,0.10628315472965968,1171.6394806399999,0.8917781857209344,-18.391244552197744
论文腕表,3,连接,5,Ut1,200.886,0.40472146949536575,1289.860763445,0.9249051119115442,-8.635851444331475
论文腕表,3,连接,5,Ut2,200.886,0.22241538092613922,1163.5029220499998,1.335756786496827,-13.676416364439632
论文腕表,3,连接,10,Ut1,205.886,0.4135762010645456,1289.85313441,0.5791753827699047,-8.45581262161376
论文腕表,3,连接,10,Ut2,205.886,0.23343866179167766,1163.4870146599999,0.6598374508096502,-12.850332593531286
论文腕表,3,复位,5,Ut1,230.886,0.12369970455284744,1285.799178935,0.6834149144921272,-6.977775378626601
论文腕表,3,复位,5,Ut2,230.886,0.10026357202024286,1156.5575792299999,1.25578170912248,-13.001454074808791
论文腕表,3,复位,10,Ut1,235.886,0.12215653768178288,1285.77545119,0.34910539276462244,-6.791046659646932
论文腕表,3,复位,10,Ut2,235.886,0.10222957781257953,1156.54823324,0.6158211161571225,-12.607872561313437
项目腕表,1,连接,5,Ut1,80.117,0.4820701425884592,1518.8338473050003,0.8452357867962806,-6.75319071550495
项目腕表,1,连接,5,Ut2,80.117,0.3090056637044582,1361.4545441050002,1.2904338867191036,-12.878837851149106
项目腕表,1,连接,10,Ut1,85.117,0.519155147803993,1518.8287357000002,0.5792371162608332,-6.231359695442058
项目腕表,1,连接,10,Ut2,85.117,0.28206348109056434,1361.4762114,0.6664157120543468,-11.618264270512059
项目腕表,1,复位,5,Ut1,110.117,0.2221412314121735,1515.9792709849999,0.5492796178469371,-4.592371868655282
项目腕表,1,复位,5,Ut2,110.117,0.22079395961501272,1355.6220631050003,1.0545639769913056,-10.500685669996264
项目腕表,1,复位,10,Ut1,115.117,0.1780082191871337,1515.96328748,0.38718380257447427,-4.619134985372645
项目腕表,1,复位,10,Ut2,115.117,0.19319283240832258,1355.58998105,0.6313680558486896,-11.7046471542927
项目腕表,2,连接,5,Ut1,140.514,0.30036178498190724,1514.1771698550003,0.48103734636847234,-2.875337834363663
项目腕表,2,连接,5,Ut2,140.514,0.4717300373203823,1351.0897063549999,0.8986000411553196,-7.619868148218995
项目腕表,2,连接,10,Ut1,145.514,0.31793191356031486,1514.1667937,0.5035478623036208,-5.063954182029205
项目腕表,2,连接,10,Ut2,145.514,0.43481762741333274,1351.05941786,0.641220670830028,-7.72753710650303
项目腕表,2,复位,5,Ut1,170.514,0.10272050460579221,1512.8555298999997,0.26599253051474026,-0.9137931745842549
项目腕表,2,复位,5,Ut2,170.514,0.17049431193485687,1347.26490001,0.657266522765664,-6.336266514193794
项目腕表,2,复位,10,Ut1,175.514,0.08596363327031076,1512.8919986899998,0.14668321920169983,-2.244789761954822
项目腕表,2,复位,10,Ut2,175.514,0.23577314750801504,1347.1762845,0.47195428801475875,-8.605247072212073
项目腕表,3,连接,5,Ut1,200.905,0.3240445429668336,1512.0025251250001,0.35422936618470935,-1.4119515614410738
项目腕表,3,连接,5,Ut2,200.905,0.1947489154010537,1343.5802077600001,0.5407432502327891,-5.098314644014743
项目腕表,3,连接,10,Ut1,205.905,0.2913140509173087,1512.02239951,0.32712228658445724,-1.3035644906491202
项目腕表,3,连接,10,Ut2,205.905,0.15439196181669135,1343.6238096099999,0.2817328712196663,-4.289043027247889
项目腕表,3,复位,5,Ut1,230.905,0.14592535857692465,1511.349982545,0.2047633959860573,-0.9917631852712318
项目腕表,3,复位,5,Ut2,230.905,0.19952456258601442,1340.5807494399999,0.608307758828062,-5.357563906514548
项目腕表,3,复位,10,Ut1,235.905,0.07730111692882276,1511.3937376600002,0.15486960302031721,-1.2638295448737882
项目腕表,3,复位,10,Ut2,235.905,0.15499800301446648,1340.58021521,0.4978993380837341,-9.044060216182668
