device,run,channel,threshold_mV_min,recording_s,mcu_s,tail_slope
论文腕表,1,Ut1,0.5,,,-1.0060355756577009
论文腕表,1,Ut1,1.0,,,-1.0060355756577009
论文腕表,1,Ut1,2.0,,,-1.0060355756577009
论文腕表,1,Ut1,5.0,314.0,336.125,-1.0060355756577009
论文腕表,1,Ut2,0.5,,,-0.30874838060502974
论文腕表,1,Ut2,1.0,,,-0.30874838060502974
论文腕表,1,Ut2,2.0,,,-0.30874838060502974
论文腕表,1,Ut2,5.0,,,-0.30874838060502974
项目腕表,1,Ut1,0.5,,,1.0550574763559295
项目腕表,1,Ut1,1.0,271.0,290.065,1.0550574763559295
项目腕表,1,Ut1,2.0,120.0,139.065,1.0550574763559295
项目腕表,1,Ut1,5.0,94.0,113.06500000000001,1.0550574763559295
项目腕表,1,Ut2,0.5,,,-3.2323889409825846
项目腕表,1,Ut2,1.0,,,-3.2323889409825846
项目腕表,1,Ut2,2.0,,,-3.2323889409825846
项目腕表,1,Ut2,5.0,233.0,252.065,-3.2323889409825846
项目腕表,2,Ut1,0.5,226.0,241.125,0.15996402011808225
项目腕表,2,Ut1,1.0,157.0,172.125,0.15996402011808225
项目腕表,2,Ut1,2.0,134.0,149.125,0.15996402011808225
项目腕表,2,Ut1,5.0,84.0,99.12500000000001,0.15996402011808225
项目腕表,2,Ut2,0.5,,,-1.917360226561788
项目腕表,2,Ut2,1.0,,,-1.917360226561788
项目腕表,2,Ut2,2.0,,,-1.917360226561788
项目腕表,2,Ut2,5.0,213.0,228.125,-1.917360226561788
