channel,window,signal,rms_05_50,rms_5_50,rms_33
Ut1,全段去边缘5秒,raw,3.0147213855747457,1.0067620637662285,0.8188699638065832
Ut1,全段去边缘5秒,median3,2.854006134964281,0.24198159336200314,0.05183677263121489
Ut1,运动20秒,raw,1.9757767794150758,1.1316767056744228,0.9555024568339485
Ut1,运动20秒,median3,1.6278988307365798,0.2908505009901925,0.0324479675878165
Ut1,低运动10秒,raw,0.9470615288671899,0.9400184119071362,0.6526659746792702
Ut1,低运动10秒,median3,0.23067385758358463,0.2238095178647036,0.017044003226460214
Ut1,全段去边缘3秒,raw,2.904599863931056,0.9915470107386825,0.8045997659296805
Ut1,全段去边缘3秒,median3,2.7395481967652096,0.2424174366277507,0.050375720677629694
Ut1,全段去边缘10秒,raw,3.1972615541587346,1.0270340264812903,0.832865770649767
Ut1,全段去边缘10秒,median3,3.0407102489901203,0.24324754598607307,0.05498506337320181
Ut1,连续10秒_5,raw,0.6011124655513352,0.5891569554621355,0.3951946019967713
Ut1,连续10秒_5,median3,0.20207497436754762,0.19535567660708753,0.020607096139603744
Ut1,连续10秒_15,raw,0.7699867631621694,0.7622686475668317,0.5631781779056281
Ut1,连续10秒_15,median3,0.27106909310107835,0.2618941209523689,0.01938049654645879
Ut1,连续10秒_25,raw,1.236373312019179,1.0547465142879016,0.779015988567645
Ut1,连续10秒_25,median3,0.6518963369979147,0.18828402223410334,0.022681400007408897
Ut1,连续10秒_35,raw,5.895183057194233,1.0615775955524631,0.9004207197373659
Ut1,连续10秒_35,median3,5.8273346340395245,0.31561541938799464,0.11272494532475151
Ut1,连续10秒_45,raw,1.3539084224373812,1.0931908818050604,0.9350887976085717
Ut1,连续10秒_45,median3,0.8444863440444265,0.28523843025678686,0.018282055250703443
Ut1,连续10秒_55,raw,3.47299384642452,1.089239915709922,0.881685303657594
Ut1,连续10秒_55,median3,3.3041519142507303,0.30381005739823064,0.05312201729367686
Ut1,连续10秒_65,raw,1.9572834405702348,1.1298541916022962,1.0091409743311939
Ut1,连续10秒_65,median3,1.5851391229078204,0.2055245638135969,0.033309528832411006
Ut2,全段去边缘5秒,raw,1.4239773639664584,0.48060142093575087,0.2526912000566361
Ut2,全段去边缘5秒,median3,1.3519544039499898,0.23363279860214708,0.036910556227267466
Ut2,运动20秒,raw,1.5379363924019378,0.5569284150180058,0.3257815095705922
Ut2,运动20秒,median3,1.4566718545592998,0.30132090721067795,0.03699605189226174
Ut2,低运动10秒,raw,0.38041690250778293,0.37681302594895794,0.14856933604253628
Ut2,低运动10秒,median3,0.19548308468082107,0.18842673052093245,0.022649573052444374
Ut2,全段去边缘3秒,raw,1.3704033083879543,0.4794158783060698,0.2458803275807534
Ut2,全段去边缘3秒,median3,1.297107651261861,0.2375581547588945,0.03643170844244806
Ut2,全段去边缘10秒,raw,1.4054997499622275,0.48334796305097494,0.2434781715408536
Ut2,全段去边缘10秒,median3,1.3316862091266655,0.24492436971838596,0.038632017797060866
Ut2,连续10秒_5,raw,0.3509425879333889,0.34551350147311766,0.20779809196724824
Ut2,连续10秒_5,median3,0.1250093574419138,0.11517612433280533,0.012219907116636874
Ut2,连续10秒_15,raw,0.3540566782482135,0.35055146680852833,0.13187597288294173
Ut2,连续10秒_15,median3,0.1608274312003297,0.1535790236676447,0.025055568023005445
Ut2,连续10秒_25,raw,0.7929989417073485,0.4845248568508654,0.19393766618929367
Ut2,连续10秒_25,median3,0.6663828708930016,0.23930866076414922,0.039481219490056764
Ut2,连续10秒_35,raw,0.9395610845150082,0.4632060231521043,0.26641041327526394
Ut2,连续10秒_35,median3,0.8395054859901318,0.1757228593907067,0.022174027213072676
Ut2,连续10秒_45,raw,1.8399323211417633,0.4818789898606714,0.2547525612205472
Ut2,连续10秒_45,median3,1.7863908988210726,0.2990833669142684,0.046762521627008335
Ut2,连续10秒_55,raw,0.513303628784185,0.4292293923825085,0.2504679341990718
Ut2,连续10秒_55,median3,0.3590693302055955,0.2304395372947705,0.027055433126723892
Ut2,连续10秒_65,raw,1.8289218643228935,0.5431229477163037,0.34878052626500466
Ut2,连续10秒_65,median3,1.7504789394784162,0.32809965544053854,0.04291675915829289
