time_s,Ut1_raw,Ut1_median3,Ut1_raw_bp,Ut1_median3_bp,Ut2_raw,Ut2_median3,Ut2_raw_bp,Ut2_median3_bp
0.02,1977.0813,1977.53906,-0.07453973478075149,-0.04350996896196109,1614.99023,1614.99023,-0.16798295444073078,0.06512259098453811
0.03,1977.23389,1977.23389,-0.003988825953738506,-0.06789595056109729,1615.448,1614.99023,-0.15438500460570642,0.10661238391310413
0.04,1977.99683,1977.23389,0.06400951481714115,-0.09101979958811297,1615.21912,1615.21912,-0.14075368531228993,0.14619875915665057
0.05,1979.06494,1977.99683,0.12672598665289345,-0.11204844518237976,1614.45618,1615.21912,-0.12785813895474213,0.18224568323079351
0.06,1977.0813,1977.99683,0.18214529582494654,-0.13019024468300042,1615.3717,1615.21912,-0.11653262573562452,0.21335436757726955
0.07,1977.46277,1977.46277,0.22918683387243105,-0.14470858299018433,1615.3717,1615.3717,-0.10764697387301479,0.2384322270727131
0.08,1977.31018,1977.31018,0.2677602108716115,-0.1549640612072156,1614.151,1615.3717,-0.10206613636813874,0.2567277376354676
0.09,1977.15759,1977.31018,0.2986637934058497,-0.16048371543209036,1615.3717,1615.3717,-0.10059522118412231,0.2678299892590098
0.1,1978.14941,1977.31018,0.323360660355603,-0.16104356242900839,1614.99023,1614.99023,-0.10390763888952681,0.2716382091665607
0.11,1977.005,1977.15759,0.3436787006034593,-0.15674301604416846,1614.37988,1614.99023,-0.11245738907073452,0.2683128205983888
0.12,1977.15759,1977.15759,0.36148444758525866,-0.1480489032206719,1615.448,1614.99023,-0.12638212860503223,0.2582236395973543
0.13,1977.69165,1977.15759,0.37837851335805506,-0.13579173707832654,1615.3717,1615.3717,-0.1454099639119558,0.24191011866587303
0.14,1977.23389,1977.23389,0.3954545566590993,-0.12110577237950391,1614.45618,1615.3717,-0.16878772433850653,0.22006251582716496
0.15,1977.84424,1977.69165,0.41315235698475056,-0.10531583008894976,1614.99023,1614.99023,-0.19524976659837526,0.19352417691429757
0.16,1977.76794,1977.76794,0.4312203251023826,-0.08978589645407521,1615.3717,1614.99023,-0.22304344323647848,0.16330780027711794
0.17,1977.23389,1977.76794,0.4487875747751016,-0.0757536618564187,1615.448,1615.3717,-0.25002201187141215,0.13061435035644314
0.18,1977.23389,1977.23389,0.4645331143098433,-0.06417791383469784,1615.448,1615.448,-0.27380892012671065,0.09684093734407022
0.19,1977.31018,1977.23389,0.47692904717771184,-0.05562109330772007,1615.3717,1615.448,-0.2920263411949522,0.06356259452966856
0.2,1979.44641,1977.31018,0.4845232072709523,-0.050180712300107004,1612.09106,1615.3717,-0.3025634471205856,0.032474403750402586
0.21,1977.005,1977.31018,0.4862144611341042,-0.04747628499917752,1615.448,1615.3717,-0.3038412567685643,0.00528740190968504
