device,phase,run,channel,seconds,rms_33
论文腕表,静置,1,Ut1,30,0.3038331070653944
论文腕表,静置,1,Ut1,60,0.21642960413441664
论文腕表,静置,1,Ut2,30,0.17833286234833912
论文腕表,静置,1,Ut2,60,0.21582452236678942
论文腕表,佩戴,1,Ut1,30,0.03393044271645132
论文腕表,佩戴,1,Ut1,60,0.03813277992254167
论文腕表,佩戴,1,Ut2,30,0.03862147308425069
论文腕表,佩戴,1,Ut2,60,0.044485090864563634
项目腕表,静置,1,Ut1,30,0.29914809192027636
项目腕表,静置,1,Ut1,60,0.45120175080427855
项目腕表,静置,1,Ut2,30,0.1931073093474002
项目腕表,静置,1,Ut2,60,0.1451874041527046
项目腕表,静置,2,Ut1,30,0.24980487338380727
项目腕表,静置,2,Ut1,60,0.4353065887903446
项目腕表,静置,2,Ut2,30,0.1172137893807621
项目腕表,静置,2,Ut2,60,0.12399009511006841
项目腕表,佩戴,1,Ut1,30,0.20603994936754
项目腕表,佩戴,1,Ut1,60,0.2546185574874249
项目腕表,佩戴,1,Ut2,30,0.5292228006477179
项目腕表,佩戴,1,Ut2,60,0.4516383055285518
