dataset,window,channel,n,start_mcu_s,end_mcu_s,mean_mV,sd_raw_mV,slope_mV_min,rms_mV,rms_20,rms_40,rms_33,rms_05_5,peaks_Hz
修订后,前30秒,Ut1,3000,17.872999999999998,47.873,1451.6659038066666,2.7187513807079537,-17.794258563331095,0.16055109421653838,0.0468861396976407,0.045028362341321605,0.010581081165987223,0.12347118117547251,2.4;4.0;1.6;3.2;20.0;0.8;4.8;40.0
修订后,前30秒,Ut2,3000,17.872999999999998,47.873,1465.6024677133335,3.276102272307941,-22.433088366750958,0.17926188139991991,0.04640929812816589,0.044961446132122475,0.03207452599135451,0.12641629081666916,2.4;4.0;1.6;3.2;0.8;4.8;16.8;43.2
修订后,末30秒,Ut1,3000,902.153,932.153,1430.314102236667,0.20022461355599988,-0.22662798287511016,0.19871240206057247,0.06004900647827544,0.056220473931830835,0.02118377165221675,0.1575033686608723,1.6;2.6;1.0;2.1;0.5;3.1;22.1;17.9
修订后,末30秒,Ut2,3000,902.153,932.153,1448.4524542666663,0.22264081164600638,-0.3288975404962795,0.21495376855708578,0.06201764406927925,0.061801485675016594,0.03514852593961106,0.1661030579043225,1.6;2.6;1.0;2.1;0.5;3.1;42.1;17.9
修订后,末60秒,Ut1,6000,872.153,932.153,1430.3734457150003,0.20782165563300228,-0.23616375382365537,0.19712525412338636,0.05926259855034699,0.05545666032052878,0.01681660208121331,0.1568909513959157,1.6;2.6;1.0;2.1;0.5;3.1;22.1;42.1
修订后,末60秒,Ut2,6000,872.153,932.153,1448.5211439783332,0.23067220827860646,-0.26939718874236174,0.21498773799149246,0.060678243672238584,0.0597139968339013,0.04309214059368958,0.16579175256813664,1.6;2.6;1.0;2.1;0.5;33.3;3.1;42.1
修订后,末120秒,Ut1,12000,812.153,932.153,1430.5087530191665,0.2527926301654509,-0.27587192987913345,0.19550949746164764,0.05681497852724591,0.054576601756851355,0.013741282751214915,0.1563029457344364,1.6;2.6;1.1;2.1;0.5;3.2;22.1;42.1
修订后,末120秒,Ut2,12000,812.153,932.153,1448.6636040825,0.27393328935383143,-0.2722354394838315,0.2214189780806212,0.06000111318195465,0.05943396374456214,0.0637849172161765,0.16599453484208695,1.6;2.6;1.1;33.3;2.1;0.5;3.2;17.9
修订后,前60秒,Ut1,6000,17.872999999999998,77.873,1449.1499837666665,3.2441475141843092,-10.623744463087446,0.16381777782915374,0.047762951614671555,0.0450623815379227,0.015408945857235899,0.1259429334723008,2.4;3.9;1.6;3.2;0.8;20.0;4.7;40.0
修订后,前60秒,Ut2,6000,17.872999999999998,77.873,1462.1121469966663,4.26334641356815,-14.221994780068862,0.18327615759024726,0.04718683089073831,0.04601039793336566,0.03294684102319761,0.1305793284491008,2.4;3.9;1.6;3.2;0.8;4.7;33.3;16.8
修订后,上电540–600秒,Ut1,6000,540.0029999999999,600.0029999999999,1432.9831185966668,0.3076443336391418,-0.8330532460641127,0.19084230082487677,0.05433380843258263,0.05235726606113894,0.011664165621443007,0.15204103170334257,1.7;2.9;1.2;2.3;0.6;3.5;22.3;42.3
修订后,上电540–600秒,Ut2,6000,540.0029999999999,600.0029999999999,1449.598781915,0.21659474679528232,-0.19999065131520513,0.20743968094904403,0.05480239685758268,0.05466745603940176,0.05048727039984278,0.15833798910485633,1.7;2.9;1.2;2.3;33.3;0.6;3.5;22.3
修订后,上电681.035–741.035秒,Ut1,6000,681.0429999999999,741.0429999999999,1431.5932848133334,0.24293745434552502,-0.5006693270285456,0.1951433964900614,0.05522783789698476,0.051956876776617485,0.021099294256612475,0.15508346581317944,1.7;2.8;1.1;2.3;3.4;0.6;22.3;42.3
修订后,上电681.035–741.035秒,Ut2,6000,681.0429999999999,741.0429999999999,1449.1230271866668,0.23007663992185115,-0.15576571471455372,0.2248848390240774,0.05832422599506062,0.058425079247582404,0.0754362487901581,0.1619889001708191,1.7;33.3;2.8;1.1;2.3;0.6;3.4;17.7
修订前静置,前30秒,Ut1,3000,651.465,681.465,1503.2510120066665,0.4848097127355203,0.48101351179057733,0.4685287636760331,0.1603887427949968,0.15551387684229712,0.24980487338380727,0.226622078068228,33.3;0.6;0.9;26.7;6.7;20.0;13.3;19.6
修订前静置,前30秒,Ut2,3000,651.465,681.465,1302.9998524399998,0.454861260680293,-1.987927433522282,0.3484433996087084,0.12862392901773076,0.1324568147011229,0.1172137893807621,0.23650818979983035,0.6;0.9;33.3;40.4;20.4;40.8;39.2;39.6
修订前静置,末30秒,Ut1,3000,711.035,741.035,1503.9107767199998,0.7338351062488309,0.3400726871199653,0.7213859368248552,0.15798730604032302,0.1708528260448711,0.5914652365781565,0.23691114349005665,33.3;0.7;1.1;25.2;41.4;8.1;20.0;39.1
修订前静置,末30秒,Ut2,3000,711.035,741.035,1301.4206442633333,0.507433956959213,-1.5782216841208287,0.44704442734347133,0.1451146709015447,0.14664113222731315,0.26281129672556053,0.23498222678709632,33.3;0.7;1.1;40.0;6.7;26.7;19.6;20.4
修订前静置,末60秒,Ut1,6000,681.035,741.035,1503.7864810283334,0.7586573270163558,0.5220444919175802,0.7484543829192434,0.17459041836875527,0.19114959134549445,0.5875935183485438,0.25330687924428424,33.3;0.6;1.1;25.2;41.4;6.7;8.1;26.7
修订前静置,末60秒,Ut2,6000,681.035,741.035,1301.7909493233333,0.6019983442627477,-1.4997143114305946,0.40336954770636557,0.1369510259614516,0.13855443952241034,0.2075056674744258,0.22941907000517625,33.3;0.6;1.1;6.7;26.7;40.0;20.4;19.6
修订前静置,前60秒,Ut1,6000,651.465,711.465,1503.4583661549998,0.673024856262429,0.7859770217828157,0.6245368524648885,0.17475903451152197,0.18298958867513662,0.4353065887903446,0.2433901813311712,33.3;0.6;1.0;26.7;6.7;20.0;40.0;25.2
修订前静置,前60秒,Ut2,6000,651.465,711.465,1302.574411745,0.6196648120158,-1.7215065017963622,0.35775950122256694,0.13169748227642503,0.13341255118128104,0.12399009511006841,0.2343556730733261,0.6;33.3;1.0;26.7;6.7;13.3;20.4;40.4
修订前静置,上电681.035–741.035秒,Ut1,6000,681.035,741.035,1503.7864810283334,0.7586573270163558,0.5220444919175802,0.7484543829192434,0.17459041836875527,0.19114959134549445,0.5875935183485438,0.25330687924428424,33.3;0.6;1.1;25.2;41.4;6.7;8.1;26.7
修订前静置,上电681.035–741.035秒,Ut2,6000,681.035,741.035,1301.7909493233333,0.6019983442627477,-1.4997143114305946,0.40336954770636557,0.1369510259614516,0.13855443952241034,0.2075056674744258,0.22941907000517625,33.3;0.6;1.1;6.7;26.7;40.0;20.4;19.6
