dataset,channel,f_Hz,psd_mV2_Hz
修订前,Ut1,0.0,0.0008266656857342443
修订前,Ut1,0.1,0.009227920284362435
修订前,Ut1,0.2,0.03781387156873784
修订前,Ut1,0.30000000000000004,0.01411880433456564
修订前,Ut1,0.4,0.08913773302699529
修订前,Ut1,0.5,0.07230282408063374
修订前,Ut1,0.6000000000000001,0.14543755491780141
修订前,Ut1,0.7000000000000001,0.119322328221745
修订前,Ut1,0.8,0.04179108738375658
修订前,Ut1,0.9,0.03972378706508641
修订前,Ut1,1.0,0.05460485062814939
修订前,Ut1,1.1,0.07846970335350742
修订前,Ut1,1.2000000000000002,0.025384826358396253
修订前,Ut1,1.3,0.022028591425108542
修订前,Ut1,1.4000000000000001,0.006911273674782856
修订前,Ut1,1.5,0.0021422010062568018
修订前,Ut1,1.6,0.0011228571585211369
修订前,Ut1,1.7000000000000002,0.0011235093005281377
修订前,Ut1,1.8,0.0012456403093425881
修订前,Ut1,1.9000000000000001,0.0006865258058191677
修订前,Ut1,2.0,0.0009621377597283608
修订前,Ut1,2.1,0.0008869201721638658
修订前,Ut1,2.2,0.0006088263739643186
修订前,Ut1,2.3000000000000003,0.0016465363279635316
修订前,Ut1,2.4000000000000004,0.00170351956429179
修订前,Ut1,2.5,0.0007776485862624074
修订前,Ut1,2.6,0.000740539774583594
修订前,Ut1,2.7,0.0013814962578822987
修订前,Ut1,2.8000000000000003,0.0004612513613855276
修订前,Ut1,2.9000000000000004,0.0004557879005582879
修订前,Ut1,3.0,0.00046603788623271415
修订前,Ut1,3.1,0.00037348979676317374
修订前,Ut1,3.2,0.0008039612797646746
修订前,Ut1,3.3000000000000003,0.0015491380971496451
修订前,Ut1,3.4000000000000004,0.0009450114122527255
修订前,Ut1,3.5,0.0006898173778853681
修订前,Ut1,3.6,0.0011590925224383272
修订前,Ut1,3.7,0.001585673278619842
修订前,Ut1,3.8000000000000003,0.0006671742787811799
修订前,Ut1,3.9000000000000004,0.0005986891587305077
修订前,Ut1,4.0,0.0011845430338420927
修订前,Ut1,4.1000000000000005,0.0006235238274208968
